Direction,Year,Date,Country,Product,Transport_mode,Measure,Value
Exports,2017,21/02/2017,All,All,All,$,85000000
Exports,2017,22/02/2017,All,All,All,$,128000000
Exports,2017,23/02/2017,All,All,All,$,109000000
Exports,2017,24/02/2017,All,All,All,$,129000000
Exports,2017,25/02/2017,All,All,All,$,140000000
Exports,2017,26/02/2017,All,All,All,$,166000000
Exports,2017,27/02/2017,All,All,All,$,229000000
Exports,2017,28/02/2017,All,All,All,$,140000000
Exports,2017,01/03/2017,All,All,All,$,127000000
Exports,2017,02/03/2017,All,All,All,$,128000000
Exports,2017,03/03/2017,All,All,All,$,158000000
Exports,2017,04/03/2017,All,All,All,$,125000000
Exports,2017,05/03/2017,All,All,All,$,169000000
Exports,2017,06/03/2017,All,All,All,$,222000000
Exports,2017,07/03/2017,All,All,All,$,67000000
Exports,2017,08/03/2017,All,All,All,$,124000000
Exports,2017,09/03/2017,All,All,All,$,100000000
Exports,2017,10/03/2017,All,All,All,$,137000000
Exports,2017,11/03/2017,All,All,All,$,136000000
Exports,2017,12/03/2017,All,All,All,$,162000000
Exports,2017,13/03/2017,All,All,All,$,209000000
Exports,2017,14/03/2017,All,All,All,$,90000000
Exports,2017,15/03/2017,All,All,All,$,241000000
Exports,2017,16/03/2017,All,All,All,$,135000000
Exports,2017,17/03/2017,All,All,All,$,136000000
Exports,2017,18/03/2017,All,All,All,$,131000000
Exports,2017,19/03/2017,All,All,All,$,148000000
Exports,2017,20/03/2017,All,All,All,$,185000000
Exports,2017,21/03/2017,All,All,All,$,82000000
Exports,2017,22/03/2017,All,All,All,$,105000000
Exports,2017,23/03/2017,All,All,All,$,107000000
Exports,2017,24/03/2017,All,All,All,$,164000000
Exports,2017,25/03/2017,All,All,All,$,168000000
Exports,2017,26/03/2017,All,All,All,$,206000000
Exports,2017,27/03/2017,All,All,All,$,250000000
Exports,2017,28/03/2017,All,All,All,$,115000000
Exports,2017,29/03/2017,All,All,All,$,132000000
Exports,2017,30/03/2017,All,All,All,$,153000000
Exports,2017,31/03/2017,All,All,All,$,175000000
Exports,2017,01/04/2017,All,All,All,$,154000000
Exports,2017,02/04/2017,All,All,All,$,170000000
Exports,2017,03/04/2017,All,All,All,$,225000000
Exports,2017,04/04/2017,All,All,All,$,91000000
Exports,2017,05/04/2017,All,All,All,$,107000000
Exports,2017,06/04/2017,All,All,All,$,180000000
Exports,2017,07/04/2017,All,All,All,$,144000000
Exports,2017,08/04/2017,All,All,All,$,195000000
Exports,2017,09/04/2017,All,All,All,$,184000000
Exports,2017,10/04/2017,All,All,All,$,246000000
Exports,2017,11/04/2017,All,All,All,$,95000000
Exports,2017,12/04/2017,All,All,All,$,95000000
Exports,2017,13/04/2017,All,All,All,$,151000000
Exports,2017,14/04/2017,All,All,All,$,155000000
Exports,2017,15/04/2017,All,All,All,$,170000000
